scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130598346,NA,NA,eBird,S130598346,2,-68.0454782,44.3386398
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130592164,NA,NA,eBird,S130592164,2,-68.0603456,44.3324746
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP--West Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130588959,NA,NA,eBird,S130588959,1,-68.0671263,44.3458069
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S130586294,NA,NA,eBird,S130586294,1,-68.0752723,44.3754377
Gavia immer,common loon,Aves,Birds,2023-03-09,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130553927,NA,NA,eBird,S130553927,1,-68.304306,44.3361417
Gavia immer,common loon,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,6,-68.1873536,44.3231322
Gavia immer,common loon,Aves,Birds,2023-03-08,"Acadia National Park, Birch Harbor US-ME (44.3603,-68.0765)",NA,NA,NA,NA,https://ebird.org/checklist/S130444002,NA,NA,eBird,S130444002,2,-68.076475,44.360268
Gavia immer,common loon,Aves,Birds,2023-03-07,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130394236,NA,NA,eBird,S130394236,2,-68.299427,44.2426166
Gavia immer,common loon,Aves,Birds,2023-03-07,"Acadia National Park, Birch Harbor US-ME 44.36653, -68.07630",NA,NA,NA,NA,https://ebird.org/checklist/S130380512,NA,NA,eBird,S130380512,2,-68.076304,44.366531
Gavia immer,common loon,Aves,Birds,2023-03-05,"Ocean Drive, Acadia National Park",NA,NA,NA,NA,https://ebird.org/checklist/S130292045,NA,NA,eBird,S130292045,5,-68.1868172,44.3243393
Gavia immer,common loon,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,2,-68.0469131,44.359574
Mergus merganser,common merganser,Aves,Birds,2023-03-03,"Northeast Creek, Bar Harbor, ME 04609, USA",1198,cvschmitt,256926,false,https://www.inaturalist.org/observations/150165758,https://inaturalist-open-data.s3.amazonaws.com/photos/258877907/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.3040512,44.4248085
Corvus corax,common raven,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,2,-68.3025,44.2373
Corvus corax,common raven,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,2,-68.0454782,44.3386398
Junco hyemalis,dark-eyed junco,Aves,Birds,2023-03-05,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S130228170,NA,NA,eBird,S130228170,2,-68.1930828,44.328269
Junco hyemalis,dark-eyed junco,Aves,Birds,2023-03-05,Acadia NP--Aunt Betty's Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S130311067,NA,NA,eBird,S130311067,4,-68.2719612,44.3688395
Regulus satrapa,golden-crowned kinglet,Aves,Birds,2023-03-06,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130334675,NA,NA,eBird,S130334675,1,-68.3025,44.2373
Regulus satrapa,golden-crowned kinglet,Aves,Birds,2023-03-05,Acadia NP--Aunt Betty's Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S130311067,NA,NA,eBird,S130311067,1,-68.2719612,44.3688395
Larus marinus,great black-backed gull,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,4,-68.3025,44.2373
Larus marinus,great black-backed gull,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,1,-68.0454782,44.3386398
Phalacrocorax carbo,great cormorant,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,5,-68.3025,44.2373
Phalacrocorax carbo,great cormorant,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130598346,NA,NA,eBird,S130598346,1,-68.0454782,44.3386398
Phalacrocorax carbo,great cormorant,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,1,-68.1873536,44.3231322
Phalacrocorax carbo,great cormorant,Aves,Birds,2023-03-06,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130348210,NA,NA,eBird,S130348210,1,-68.0603456,44.3324746
Histrionicus histrionicus,harlequin duck,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130597060,NA,NA,eBird,S130597060,2,-68.0603456,44.3324746
Histrionicus histrionicus,harlequin duck,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,2,-68.0454782,44.3386398
Larus argentatus,herring gull,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,40,-68.3025,44.2373
Larus argentatus,herring gull,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,1,-68.04231,44.361568
Larus argentatus,herring gull,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,8,-68.0454782,44.3386398
Larus argentatus,herring gull,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130592164,NA,NA,eBird,S130592164,7,-68.0603456,44.3324746
Larus argentatus,herring gull,Aves,Birds,2023-03-10,Acadia NP--West Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130588959,NA,NA,eBird,S130588959,11,-68.0671263,44.3458069
Larus argentatus,herring gull,Aves,Birds,2023-03-09,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130553927,NA,NA,eBird,S130553927,10,-68.304306,44.3361417
Larus argentatus,herring gull,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,2,-68.1873536,44.3231322
Larus argentatus,herring gull,Aves,Birds,2023-03-08,"Acadia National Park, Birch Harbor US-ME (44.3603,-68.0765)",NA,NA,NA,NA,https://ebird.org/checklist/S130444002,NA,NA,eBird,S130444002,2,-68.076475,44.360268
Larus argentatus,herring gull,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,8,-68.0469131,44.359574
Larus argentatus,herring gull,Aves,Birds,2023-03-05,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S130228170,NA,NA,eBird,S130228170,3,-68.1930828,44.328269
Podiceps auritus,horned grebe,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130592164,NA,NA,eBird,S130592164,3,-68.0603456,44.3324746
Podiceps auritus,horned grebe,Aves,Birds,2023-03-08,"Acadia National Park, Birch Harbor US-ME (44.3603,-68.0765)",NA,NA,NA,NA,https://ebird.org/checklist/S130444002,NA,NA,eBird,S130444002,1,-68.076475,44.360268
Podiceps auritus,horned grebe,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,2,-68.0469131,44.359574
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,4,-68.3025,44.2373
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130597060,NA,NA,eBird,S130597060,3,-68.0603456,44.3324746
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,11,-68.0454782,44.3386398
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-09,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130553927,NA,NA,eBird,S130553927,15,-68.304306,44.3361417
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,15,-68.1873536,44.3231322
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-08,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S130550866,NA,NA,eBird,S130550866,2,-68.0390396,44.3625954
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-05,"Ocean Drive, Acadia National Park",NA,NA,NA,NA,https://ebird.org/checklist/S130292045,NA,NA,eBird,S130292045,1,-68.1868172,44.3243393
Clangula hyemalis,long-tailed duck,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,4,-68.0469131,44.359574
Anas platyrhynchos,mallard,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,1,-68.3025,44.2373
Anas platyrhynchos,mallard,Aves,Birds,2023-03-07,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130394236,NA,NA,eBird,S130394236,2,-68.299427,44.2426166
Falco columbarius,merlin,Aves,Birds,2023-03-08,Blueberry Hill,1551,cvschmitt,256926,false,https://www.inaturalist.org/observations/150610709,https://inaturalist-open-data.s3.amazonaws.com/photos/259735337/medium.jpeg,CC-BY-NC,iNaturalist,NA,1,-68.0457346514,44.3384336543
Circus hudsonius,northern harrier,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130598346,NA,NA,eBird,S130598346,1,-68.0454782,44.3386398
Circus hudsonius,northern harrier,Aves,Birds,2023-03-05,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130298505,NA,NA,eBird,S130298505,1,-68.0603456,44.3324746
Dryocopus pileatus,pileated woodpecker,Aves,Birds,2023-03-05,Acadia NP--Aunt Betty's Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S130311067,NA,NA,eBird,S130311067,1,-68.2719612,44.3688395
Spinus pinus,pine siskin,Aves,Birds,2023-03-05,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S130228170,NA,NA,eBird,S130228170,5,-68.1930828,44.328269
Pinus rigida,pitch pine,Plantae,Plants,2023-03-05,"Acadia National Park, Bar Harbor, ME, US",4,carol-in-maine,14060,false,https://www.inaturalist.org/observations/150387133,https://inaturalist-open-data.s3.amazonaws.com/photos/259304717/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.1866961505,44.3241667568
Calidris maritima,purple sandpiper,Aves,Birds,2023-03-10,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S130602437,NA,NA,eBird,S130602437,24,-68.0390396,44.3625954
Calidris maritima,purple sandpiper,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,26,-68.3025,44.2373
